,playerID,Player,H,HR,ER,BB,SO,HBP,R
281,grayjo02,Jon Gray,126.19541827417159,19.550764132781858,68.4184825973637,49.79479125695363,140.03514527202165,7.137996032395309,74.63189976549894
660,skubata01,Tarik Skubal,121.22650695338784,20.181039197088456,60.40739814412655,42.65715064315384,140.02452596522588,4.285511319583225,66.3516986326022
193,dunnida01,Dane Dunning,149.1474575370872,19.07886270461326,73.5683851303806,58.51221587499619,140.01488075753952,9.479411291710582,78.11231634784053
580,quintjo01,Jose Quintana,146.20352042435545,14.280116308202452,64.86272314191862,53.49637500960132,139.7931566024568,4.116276373639749,72.21529278066214
427,lylesjo01,Jordan Lyles,179.60777371626472,28.699737486555737,90.51458469245703,55.446334383778144,139.20428590105868,7.554612366831443,95.61813753446798
109,carraca01,Carlos Carrasco,145.51510608037455,19.363533075009823,68.39348470855332,46.6264658940638,139.14267469487194,6.427722795717395,73.29101176402663
753,walketa01,Taijuan Walker,138.41084702750544,20.159733330047803,68.6957697707142,52.05650337474763,139.10611673983155,6.186130286243142,73.68632814379997
283,grayso01,Sonny Gray,116.34177329593204,16.09099812663769,57.3880690142022,48.46170759599616,138.00237758435338,7.156951563560345,62.006703225911096
607,rogertr01,Trevor Rogers,119.1511894016517,14.086599640790913,59.89619892230698,49.004454819293656,137.25768514023034,5.802254799182536,65.49804443039054
698,suarera01,Ranger Suarez,132.38671573648668,14.065397800572358,55.74337677204909,54.31636484223903,136.18375966299297,4.765775659538447,64.12052293018805
169,degroja01,Jacob deGrom,71.8698439519438,12.16996024958968,34.07099793705122,24.13363953092845,135.7023041143766,2.2550542092464334,37.1355713558001
362,kellemi03,Mitch Keller,151.582066091039,15.506725471230327,72.85882255375918,60.7591849533974,135.46626528739577,9.880317559092184,78.37271769567367
578,quantca01,Cal Quantrill,155.02270188817465,19.834416854367262,64.36620788637987,50.452730860805296,134.86610909783434,9.485396133832815,72.31722564665348
380,klubeco01,Corey Kluber,155.52378517713765,18.843818440107455,72.63010822167557,38.643573157567644,134.62228805529696,9.059993597725528,77.19668290095109
25,anderty01,Tyler Anderson,150.47025078849774,19.404655517032378,67.09776193307086,42.85002868300272,133.43251817304326,6.560523200949354,72.61458282738123
677,sprinje01,Jeffrey Springs,109.7676741524294,16.12056567065277,45.68221242708038,36.451072267664486,133.3580203880737,2.750022035281841,51.64276335811111
147,corbipa01,Patrick Corbin,185.56647503352906,28.30468716287828,98.40063958293831,54.094848184054946,133.0452204179082,5.6498456167640185,106.13684178964539
204,eovalna01,Nathan Eovaldi,134.83414084173157,18.737302902294836,59.58205553342829,32.20386443578877,132.82995913947713,4.669014214761657,65.83644570618422
553,peralfr01,Freddy Peralta,80.85878968548627,11.546506617275725,43.95667710893036,41.91219646503381,132.67265680525912,6.501694522043311,46.251392118124556
236,freelky01,Kyle Freeland,170.00451942108947,20.972742495314385,79.48842694934525,52.931340329428906,131.83013620528106,10.718547536131615,85.10729783941755
695,stromma01,Marcus Stroman,134.2959598056728,17.151263975575905,59.017231640830104,42.984433187755045,131.71188271463814,5.71011863280631,66.72125056358475
387,kopecmi01,Michael Kopech,100.16502921976058,16.317372629750984,52.8508003061882,52.9990367689123,131.56743047682,4.011893704454635,57.820165627631845
477,mikolmi01,Miles Mikolas,146.96957734528607,21.494309363429128,68.16342501240582,41.7223997250241,131.36462910781898,6.2103914079914,75.05286192332248
426,luzarje01,Jesus Luzardo,104.45409259906349,16.86709543953846,58.942024253244284,46.66050137680502,131.35440759766868,4.437527381157274,62.88163407340385
734,urquijo01,Jose Urquidy,136.34912932368738,24.622957036131464,66.42381620626328,39.55238034811645,131.3109131999205,6.004450479297898,69.151795789541
587,rasmudr01,Drew Rasmussen,119.03978451394616,14.153294195655212,51.881588469725806,40.780425701930945,130.62331860633552,3.5990066952206403,57.23760135774708
342,irvinco01,Cole Irvin,168.8348826647448,23.174400725188807,78.99697336256509,42.82041470492485,129.9964705425653,7.672135496308078,86.77724094854914
683,steelju01,Justin Steele,114.93552838425106,14.157649956510998,51.75601598325261,51.899876218067476,129.46709642641105,5.511545488723238,60.15142345471475
414,lodolni01,Nick Lodolo,97.79805496159814,13.87106309771064,47.10918216694014,40.8433743433697,129.2063430464548,13.520287439337503,50.506764199529314
378,kirbyge01,George Kirby,121.31480110208872,13.63949066111138,50.31580745740376,30.378967678204862,128.22640792925867,5.282788325150769,55.37220918337003
272,gonsoto01,Tony Gonsolin,96.07143837817982,14.02109231407344,43.583841167138026,45.483820242675684,127.67284832880826,4.267117279197633,46.14870226722015
95,bubickr01,Kris Bubic,140.54845320920253,20.13313829680607,73.08411502432435,60.935319567152135,125.64411447539159,5.848398695602523,79.31586074923999
23,anderia01,Ian Anderson,116.43579062342256,15.075765010612383,60.23060534898796,55.043469241151136,125.1104708977306,2.8969210271869197,62.935665306827026
176,detmere01,Reid Detmers,111.3522113138595,14.88374640957805,56.88472781060726,46.17070757011562,124.54600195397185,7.393700352266131,60.072342451942546
428,lynchda02,Daniel Lynch,143.57804798532047,19.38757581537528,72.45701836930859,52.94202146894193,124.24829200923877,6.04427630774029,77.45382054312552
302,heanean01,Andrew Heaney,98.26247092217575,19.451892741271767,53.42932644746222,34.41845092858873,124.20840744956472,7.2585941649675245,59.14674333001951
749,wachami01,Michael Wacha,131.53917591255174,21.796552199121237,64.53359253241453,39.2073045752754,123.98599266173635,5.2932494759361335,68.26650823751578
97,bumgama01,Madison Bumgarner,159.94388058548316,25.491914262416927,83.43531489327913,49.98347626929831,123.89746429910716,10.128967673372117,92.03142139439753
358,kaprija01,James Kaprielian,125.99018296816327,19.19642098754288,65.72829569661921,56.05814336780065,123.277824151114,5.935868469175593,70.21069566574238
321,hillri01,Rich Hill,133.88386391200152,18.585192898770217,66.30309047840001,49.83595119258082,123.03108803834508,8.605917754912044,72.18443720100768
372,kikucyu01,Yusei Kikuchi,105.34731581167607,20.35176323399705,59.954501083615014,52.457431590082436,121.92632599210573,6.299214832835978,66.07698845919066
392,kuhlch01,Chad Kuhl,139.00886724844446,22.8963432073767,77.87690544958423,61.098259649228986,120.90028947945513,7.643578906950556,84.5215978608894
600,rodried05,Eduardo Rodriguez,121.54562067585977,15.968692522901975,59.9136001198379,42.89851172491214,120.51808063901117,3.357926693827497,66.27853590234685
274,gonzama02,Marco Gonzales,162.48956308852107,27.939730336884285,76.31505234319793,49.483347545832295,120.18603186910431,7.015432408090896,84.45496055352197
31,ashbyaa01,Aaron Ashby,98.19720632068761,14.13484237471459,50.5836335725098,42.53608982929511,119.88228413861388,5.3646106130014,58.19135089564677
166,davieza01,Zach Davies,136.9032198441358,22.24236190739621,72.7378673241404,59.845026503217696,118.07200244309023,4.103313807277486,78.34952992503528
218,feddeer01,Erick Fedde,146.82865200304127,22.536684690072587,80.70243835678818,56.994706966123545,117.62738748634656,3.508225588687291,86.0702828270979
668,smylydr01,Drew Smyly,123.73606013142316,21.094766079552148,57.573559200876026,40.36431891959144,116.69135915812443,4.848318870549097,63.57321123755861
