,playerID,Player,1B,2B,3B,HR,BB,HBP,SB,CS,SO,SH,SF
318,judgeaa01,Aaron Judge,81.76228319736866,23.85336440459762,0.34255649160499463,44.19785389763005,81.15734995768476,5.025916520947884,9.42615583654582,2.1756375027185926,152.99113263702137,0.18551363239914648,4.207238794093475
554,schwaky01,Kyle Schwarber,58.732983582409545,20.46497073076915,1.5488976746767458,36.23785957121,73.30855038731156,5.517525419577535,5.821943363685456,1.145456603247521,162.95433064892632,0.1885936920762229,2.0893807786108614
20,alonspe01,Pete Alonso,79.30641923346214,24.007657051476713,1.232366897102542,34.51823950497292,58.86846041108492,10.859586375693818,4.192492231848655,0.7655117891394643,123.49969154736874,0.17643255212877498,5.460850621437847
251,guerrvl02,Vladimir Guerrero,96.34983410592412,29.643346625413834,1.0947142805046872,33.56348242323099,63.31266405425109,5.806083812480759,5.686655263721355,1.741989018390826,103.3100271199835,0.17832878454221252,2.7567100178704576
458,olsonma02,Matt Olson,67.77636334907436,32.135167664461065,0.5474288733922649,31.916708182568062,72.32798964901636,5.594526142539213,2.5821063995927376,0.6813848367459238,137.4616189226349,0.1742618240768802,5.39744469207532
24,alvaryo01,Yordan Alvarez,73.99184642093535,28.81754075861158,1.5420029946866816,31.692793710862325,60.55569255419438,6.818966605382048,2.0683531997660234,0.8200677668473143,114.64184790903747,0.1974506608421334,4.649862754441061
521,rileyau01,Austin Riley,89.52091552112579,31.398424359544798,1.6474958283235253,31.251988718139625,51.72378839163968,11.909317860658675,1.981199441694442,0.6807560805509689,146.94501160148226,0.18069327405496716,4.890045006968918
629,troutmi01,Mike Trout,55.66341983963048,23.029151981632783,2.1921733423047702,30.470835107987625,54.95840959408616,5.65443629813741,2.8852534965858427,0.7591477198924085,121.98098513749592,0.21412961698620164,2.262308386479932
507,ramirjo01,Jose Ramirez,75.62547457340467,33.962107473009276,3.902661762232703,29.72018053730259,64.34751925778991,6.210300565071007,18.867732687337515,4.9386583424116255,89.33434662528342,0.174370559906946,5.69966643786617
484,perezsa02,Salvador Perez,71.19446320962835,22.17376112981414,0.6828762615784083,29.085004958723413,23.82309612310606,8.024260742494588,1.6428959583846348,0.37836080276985073,122.39905825566487,0.16911392006782944,3.0724609582166034
599,suareeu01,Eugenio Suarez,58.09973215561268,22.221668988751492,1.0878357012202584,28.9517228366751,61.74605919106411,7.176546948909706,1.6457805236681138,0.7065597177625759,168.63353575100146,0.17746941132688954,4.269527773638983
64,bettsmo01,Mookie Betts,72.12772357975469,30.6996903333784,2.624657079322077,28.44432652635041,57.438219447848795,8.17555631148197,11.112010553606693,3.1971491730531874,98.78207570659691,0.17896840680113008,3.917118412762198
