,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,PA_flag,AB_flag,Is_Hit,SwungOn,ContactMade_Fair,ContactMade_Foul,BatterTeam,PitcherTeam
6737,SI,2021-03-01,95.5,-2.57,5.95,"Alcantara, Sandy",605204,645261,single,hit_into_play,,,,,7.0,J.D. Davis singles on a line drive to right fielder Lewis Brinson.   Pete Alonso to 3rd.,S,R,R,MIA,NYM,X,9.0,line_drive,0,1,2021,-1.7,0.65,-0.74,1.9,,,624413.0,2,1,Top,144.89,131.6,,,595751,,,8.621699760934375,-138.56409860783936,-6.415471877945002,-23.875423040136063,33.70937229715164,-22.43010275996338,3.5,1.75,124.0,78.7,10.0,94.8,2191.0,6.2,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.26,0.406,0.37,0.9,,1.0,0.0,4.0,4,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,222.0,-0.028,,1.0,1.0,1.0,1,1,1,NYM,MIA
6738,FF,2021-03-01,96.4,-2.54,5.87,"Alcantara, Sandy",605204,645261,,called_strike,,,,,8.0,J.D. Davis singles on a line drive to right fielder Lewis Brinson.   Pete Alonso to 3rd.,S,R,R,MIA,NYM,S,,,0,0,2021,-1.26,1.0,0.0,1.63,,,624413.0,2,1,Top,,,,,595751,,,9.59540331432562,-140.01523114398037,-7.963713426482371,-18.63222918307377,30.01405934339567,-17.34672119240599,3.5,1.75,,,,96.5,2181.0,6.3,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.18,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,227.0,0.0,,,,0.0,0,0,0,NYM,MIA
6750,FF,2021-03-01,95.8,-2.48,5.98,"Alcantara, Sandy",607043,645261,,foul,,,,,7.0,"Brandon Nimmo singles on a ground ball to left fielder Corey Dickerson.  Brandon Nimmo out at 2nd on the throw, left fielder Corey Dickerson to second baseman Isan Diaz to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,S,,,0,1,2021,-0.93,1.34,-0.77,2.07,,,,0,1,Top,,,,,595751,,,6.533883891221483,-139.1271620750223,-7.618975188225641,-13.519476523696603,33.150745161988226,-13.267114780503388,3.5,1.75,,,,94.8,2123.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.52,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,229.0,0.0,,,,0.0,1,0,1,NYM,MIA
6740,CH,2021-03-01,89.4,-2.2,6.09,"Alcantara, Sandy",624413,645261,,ball,,,,,11.0,Pete Alonso walks.,S,R,R,MIA,NYM,B,,,2,2,2021,-1.19,0.24,-1.01,2.86,,,,2,1,Top,,,,,595751,,,5.409792752575857,-130.18789207589546,-2.489755506910983,-14.62670949230057,26.00064366711412,-29.118811756382737,3.5,1.75,,,,89.2,2010.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.46,,,,,,,,3,5,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,230.0,0.0,,,,0.0,0,0,0,NYM,MIA
6749,FF,2021-03-01,96.2,-2.22,6.06,"Alcantara, Sandy",607043,645261,single,hit_into_play,,,,,5.0,"Brandon Nimmo singles on a ground ball to left fielder Corey Dickerson.  Brandon Nimmo out at 2nd on the throw, left fielder Corey Dickerson to second baseman Isan Diaz to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,X,7.0,ground_ball,0,2,2021,-0.73,1.12,-0.15,2.75,,,,0,1,Top,85.63,131.97,,,595751,,,7.080289288567418,-139.89819963906103,-5.71186818329734,-11.111806640966456,31.22599880998768,-16.351850043760958,3.5,1.75,37.0,99.9,-2.0,95.8,2170.0,6.1,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.42,0.346,0.311,0.9,,1.0,0.0,2.0,1,3,4-Seam Fastball,0,0,0,0,0,0,0,0,,,226.0,0.025,,1.0,1.0,1.0,1,1,1,NYM,MIA
6748,FF,2021-03-01,94.2,-2.33,6.01,"Alcantara, Sandy",596019,645261,,ball,,,,,11.0,"Francisco Lindor grounds out, pitcher Sandy Alcantara to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,B,,,0,0,2021,-0.91,1.06,-1.52,2.67,,,,1,1,Top,,,,,595751,,,4.064832298061202,-137.106726265477,-5.279401599650135,-12.318292621842078,30.389062927991045,-17.843484528658223,3.31,1.66,,,,93.5,2219.0,5.9,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.64,,,,,,,,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,224.0,0.0,,,,0.0,0,0,0,NYM,MIA
6747,FF,2021-03-01,95.4,-2.59,5.95,"Alcantara, Sandy",596019,645261,,foul,,,,,11.0,"Francisco Lindor grounds out, pitcher Sandy Alcantara to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,S,,,1,0,2021,-1.11,1.09,-0.95,2.51,,,,1,1,Top,,,,,595751,,,6.741272166789507,-138.7673882752694,-5.825839523098606,-15.816818204613986,30.968197207129712,-16.998069338470472,3.31,1.66,250.0,80.3,27.0,94.9,2329.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.51,,,,,,,,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,227.0,0.0,,,,0.0,1,0,1,NYM,MIA
6746,CH,2021-03-01,88.9,-2.12,6.03,"Alcantara, Sandy",596019,645261,,ball,,,,,13.0,"Francisco Lindor grounds out, pitcher Sandy Alcantara to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,B,,,1,1,2021,-1.62,0.17,-1.16,1.88,,,,1,1,Top,,,,,595751,,,5.704171593985763,-129.26210626016274,-4.39801070471661,-19.305796296409024,29.587598159052767,-29.446445703534152,3.31,1.66,,,,88.0,1872.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.49,,,,,,,,2,3,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,234.0,0.0,,,,0.0,0,0,0,NYM,MIA
6739,SI,2021-03-01,96.6,-2.39,5.99,"Alcantara, Sandy",624413,645261,walk,ball,,,,,11.0,Pete Alonso walks.,S,R,R,MIA,NYM,B,,,3,2,2021,-1.4,0.61,-1.73,2.8,,,,2,1,Top,,,,,595751,,,4.91187711943856,-140.55824923475552,-4.300645228540335,-19.706283193342998,31.616843855812743,-23.33340056030504,3.5,1.75,,,,96.0,2265.0,5.9,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.57,,,0.7,,0.0,0.0,,3,6,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,223.0,-0.015,,1.0,0.0,0.0,0,0,0,NYM,MIA
6744,CU,2021-03-01,81.8,-2.27,6.08,"Alcantara, Sandy",624413,645261,,called_strike,,,,,13.0,Pete Alonso walks.,S,R,R,MIA,NYM,S,,,0,0,2021,0.22,-0.31,-0.9,2.28,,,,2,1,Top,,,,,595751,,,2.664531545682981,-119.10191405837368,-1.354895519846787,1.4807604395308362,25.01761893370761,-35.023444772657136,3.5,1.75,,,,81.0,2223.0,5.9,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.57,,,,,,,,3,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,34.0,0.0,,,,0.0,0,0,0,NYM,MIA
